"uni_cod";"a_a";"laurea_nome";"laurea_tipo";"laurea_classe_cod";"curr_nome";"materia_nome";"materia_ssd_cod";"materia_cfu";"curr_materia_anno";"curr_materia_periodo";"modulo_nome";"sub_modulo_gruppo";"sub_modulo_nome";"modulo_cfu";"modulo_periodo";"insegnamento_prof";"insegnamento_prof_www";"isbn";"autori";"curatori";"traduttori";"titolo";"editore";"edizione";"anno_pub";"tipo_copertina";"pagg";"lingua";"prezzo";"testo_obb";"testo_uso";"testo_freq";"laurea_iscritti";"laurea_matricole"
"unisi";2021;"SCIENZE ECONOMICHE E BANCARIE";"L";"L-33";"ECONOMICO";"POLITICA ECONOMICA AMBIENTALE";"";"8";"3";"1";"";"";"";"";"";"Bimonte Salvatore";"https://www.unisi.it/ugov/person/10037";"9788815094797";"Ignazio Musu";"";"";"Introduzione all'economia dell'ambiente";"Il Mulino";"2";"2003";"Brossura";"240";"Italiano";22.00;"obb";"tutto";"tutti";456;99
"unisi";2021;"FISICA E TECNOLOGIE AVANZATE";"L";"L-30";"PERCORSO COMUNE";"LABORATORIO DI FISICA 1";"FIS/01";"6";"1";"1";"";"";"";"";"";"Paoletti Riccardo";"https://www.unisi.it/ugov/person/10363";"9788879750967";"Cesare Cametti, Antonio Di Biasio";"";"";"Introduzione all'elaborazione dei dati sperimentali";"Cisu";"";"1994";"Brossura";"VI-338";"Italiano";30.00;"obb";"tutto";"tutti";44;8
"unisi";2021;"AGRIBUSINESS";"L";"L-25";"PERCORSO COMUNE";"BIOCHIMICA";"BIO/10";"6";"1";"2";"";"";"";"";"";"Bini Luca";"https://www.unisi.it/ugov/person/8995";"9788808723284";"David L. Nelson, Michael M. Cox";"Edon Melloni";"";"Introduzione alla biochimica di Lehninger. Con e-book";"Zanichelli";"6";"2018";"Brossura";"576";"Italiano";55.00;"obb";"tutto";"tutti";37;0
"unisi";2021;"AGRIBUSINESS";"L";"L-25";"PERCORSO COMUNE";"BIOLOGIA VEGETALE";"BIO/01";"9";"1";"2";"";"";"";"";"";"Nepi Massimo";"https://www.unisi.it/ugov/person/9852";"9788838664984";"Kingsley R. Stern, James E. Bidlack, Shelley H. Jansky";"";"";"Introduzione alla biologia vegetale";"McGraw-Hill Education";"";"2009";"Brossura";"595";"Italiano";64.00;"obb";"tutto";"tutti";37;0
"unisi";2021;"FARMACIA";"LMCU";"LM-13";"PERCORSO COMUNE";"CHIMICA FARMACEUTICA AVANZATA";"CHIM/08";"6";"5";"1";"";"";"";"";"";"Gemma Sandra";"https://www.unisi.it/ugov/person/8161";"9788879596633";"Graham L. Patrick";"Gabriele Costantino";"";"Introduzione alla chimica farmaceutica";"Edises";"2";"2010";"Brossura";"768";"Italiano";55.00;"obb";"tutto";"tutti";411;49
"unisi";2021;"FARMACIA";"LMCU";"LM-13";"PERCORSO COMUNE";"CHIMICA FARMACEUTICA E TOSSICOLOGICA II";"CHIM/08";"12";"4";"1";"";"";"";"";"";"Butini Stefania";"https://www.unisi.it/ugov/person/8213";"9788879596633";"Graham L. Patrick";"Gabriele Costantino";"";"Introduzione alla chimica farmaceutica";"Edises";"2";"2010";"Brossura";"768";"Italiano";55.00;"obb";"tutto";"tutti";411;49
"unisi";2021;"FARMACIA";"LMCU";"LM-13";"PERCORSO COMUNE";"CHIMICA ORGANICA";"CHIM/06";"8";"2";"1";"";"";"";"";"";"De Vico Luca";"https://www.unisi.it/ugov/person/6344";"9788836230020";"William H. Brown, Thomas Poon";"";"";"Introduzione alla chimica organica. Con e-book. Con software di simulazione";"EdiSes";"6";"2020";"Brossura";"712";"Italiano";40.85;"obb";"tutto";"tutti";411;49
"unisi";2021;"SCIENZE DELLA COMUNICAZIONE";"L";"L-20";"PERCORSO COMUNE";"COMUNICAZIONE POLITICA";"SPS/04";"6";"3";"A";"";"";"";"";"";"Guidi Mattia";"https://www.unisi.it/ugov/person/157487";"9788815293619";"";"Gianpietro Mazzoleni";"";"Introduzione alla comunicazione politica";"Il Mulino";"";"2021";"Brossura";"352";"Italiano";29.00;"obb";"tutto";"tutti";437;136
"unisi";2021;"SCIENZE POLITICHE";"L";"L-36";"STORICO POLITICO";"DEMOGRAFIA";"SECS-S/04";"9";"3";"2";"";"";"";"";"";"Buccianti Cinzia";"https://www.unisi.it/ugov/person/8107";"9788820124540";"Massimo Livi Bacci";"G. De Santis";"";"Introduzione alla demografia. (Per le Scuole superiori)";"Loescher editore";"3";"2006";"Brossura";"448";"Italiano";33.60;"obb";"tutto";"tutti";306;89
"unisi";2021;"ANTROPOLOGIA E LINGUAGGI DELL'IMMAGINE";"LM";"LM-1";"ANTROPOLOGIA E RICERCA SOCIALE";"FILOSOFIA";"M-FIL/01";"6";"1";"2";"";"";"";"";"";"Bernardini Paola (ed altri)";"https://www.unisi.it/ugov/person/8339";"9788842094760";"Alfredo Paternoster";"";"";"Introduzione alla filosofia della mente";"Laterza";"";"2010";"Brossura";"241";"Italiano";20.00;"obb";"parz.";"tutti";74;21
