"uni_cod";"a_a";"laurea_nome";"laurea_tipo";"laurea_classe_cod";"curr_nome";"materia_nome";"materia_ssd_cod";"materia_cfu";"curr_materia_anno";"curr_materia_periodo";"modulo_nome";"sub_modulo_gruppo";"sub_modulo_nome";"modulo_cfu";"modulo_periodo";"insegnamento_prof";"insegnamento_prof_www";"isbn";"autori";"curatori";"traduttori";"titolo";"editore";"edizione";"anno_pub";"tipo_copertina";"pagg";"lingua";"prezzo";"testo_obb";"testo_uso";"testo_freq";"laurea_iscritti";"laurea_matricole"
"unife";2021;"INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE)";"L";"L/SNT1";"PERCORSO COMUNE";"ATTIVITA' FORMATIVE PROFESSIONALIZZANTI PRIMO ANNO";"MED/45";"17";"1";"2";"";"";"";"";"";"Cinzia Canella (Tit.) (ed altri)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=766";"9788808187949";"Giuseppina Ledonne, Sabrina Tolomeo";"";"";"Calcoli e dosaggi farmacologici. La responsabilità dell'infermiere";"Cea";"2";"2014";"Brossura";"200";"Italiano";26.20;"obb";"tutto";"tutti";511;196
"unife";2021;"INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE)";"L";"L/SNT1";"PERCORSO COMUNE";"ATTIVITA' FORMATIVE PROFESSIONALIZZANTI SECONDO ANNO";"MED/45";"10";"2";"2";"";"";"";"";"";"Cinzia Canella (Tit.)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=766";"9788808187949";"Giuseppina Ledonne, Sabrina Tolomeo";"";"";"Calcoli e dosaggi farmacologici. La responsabilità dell'infermiere";"Cea";"2";"2014";"Brossura";"200";"Italiano";26.20;"obb";"tutto";"tutti";511;196
"unife";2021;"INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE)";"L";"L/SNT1";"PERCORSO COMUNE";"ATTIVITA' FORMATIVE PROFESSIONALIZZANTI SECONDO ANNO (PRIMO SEMESTRE - NO ESAME)";"MED/47";"11";"2";"1";"";"";"";"";"";"Cinzia Canella (Tit.) (ed altri)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=766";"9788808187949";"Giuseppina Ledonne, Sabrina Tolomeo";"";"";"Calcoli e dosaggi farmacologici. La responsabilità dell'infermiere";"Cea";"2";"2014";"Brossura";"200";"Italiano";26.20;"obb";"tutto";"tutti";511;196
"unife";2021;"INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE)";"L";"L/SNT1";"PERCORSO COMUNE";"ATTIVITA' FORMATIVE PROFESSIONALIZZANTI TERZO ANNO";"MED/45";"12";"3";"2";"";"";"";"";"";"Cinzia Canella (Tit.)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=766";"9788808187949";"Giuseppina Ledonne, Sabrina Tolomeo";"";"";"Calcoli e dosaggi farmacologici. La responsabilità dell'infermiere";"Cea";"2";"2014";"Brossura";"200";"Italiano";26.20;"obb";"tutto";"tutti";511;196
"unife";2021;"INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE)";"L";"L/SNT1";"PERCORSO COMUNE";"ATTIVITA' FORMATIVE PROFESSIONALIZZANTI TERZO ANNO (PRIMO SEMESTRE - NO ESAME)";"MED/45";"13";"3";"1";"";"";"";"";"";"Cinzia Canella (Tit.) (ed altri)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=766";"9788808187949";"Giuseppina Ledonne, Sabrina Tolomeo";"";"";"Calcoli e dosaggi farmacologici. La responsabilità dell'infermiere";"Cea";"2";"2014";"Brossura";"200";"Italiano";26.20;"obb";"tutto";"tutti";511;196
"unife";2021;"INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE)";"L";"L/SNT1";"PERCORSO COMUNE";"INFERMIERISTICA CLINICA IN AREA MEDICA";"MED/17; MED/45";"7";"2";"1";"";"";"";"";"";"Rosario Cultrera (Tit.) (ed altri)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=493";"9788808187949";"Giuseppina Ledonne, Sabrina Tolomeo";"";"";"Calcoli e dosaggi farmacologici. La responsabilità dell'infermiere";"Cea";"2";"2014";"Brossura";"200";"Italiano";26.20;"obb";"tutto";"tutti";511;196
"unife";2021;"INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE) - SEDE DI ADRIA";"L";"L/SNT1";"PERCORSO COMUNE";"ATTIVITA' FORMATIVE PROFESSIONALIZZANTI SECONDO ANNO";"MED/45";"10";"2";"2";"";"";"";"";"";"Erica Girotto (Tit.)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=519325";"9788808187949";"Giuseppina Ledonne, Sabrina Tolomeo";"";"";"Calcoli e dosaggi farmacologici. La responsabilità dell'infermiere";"Cea";"2";"2014";"Brossura";"200";"Italiano";26.20;"obb";"tutto";"tutti";237;89
"unife";2021;"INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE) - SEDE DI ADRIA";"L";"L/SNT1";"PERCORSO COMUNE";"ATTIVITA' FORMATIVE PROFESSIONALIZZANTI SECONDO ANNO (PRIMO SEMESTRE - NO ESAME)";"MED/47";"11";"2";"1";"";"";"";"";"";"Erica Girotto (Tit.) (ed altri)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=519325";"9788808187949";"Giuseppina Ledonne, Sabrina Tolomeo";"";"";"Calcoli e dosaggi farmacologici. La responsabilità dell'infermiere";"Cea";"2";"2014";"Brossura";"200";"Italiano";26.20;"obb";"tutto";"tutti";237;89
"unife";2021;"INGEGNERIA CIVILE E AMBIENTALE";"L";"L-7";"PERCORSO COMUNE";"CHIMICA APPLICATA E TECNOLOGIA DEI MATERIALI";"ING-IND/22";"12";"1";"1";"";"";"";"";"";"Andrea Balbo (Tit.) (ed altri)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=515283";"9788829911318";"Paola Michelin Lausarot, G. Angelo Vaglio";"";"";"Calcoli stechiometrici";"Piccin Editore";"2";"1993";"";"633";"Italiano";24.00;"obb";"tutto";"tutti";220;67
"unife";2021;"ARCHITETTURA";"LMCU";"LM-4CU";"PERCORSO COMUNE";"MATEMATICA APPLICATA";"MAT/08";"8";"1";"1";"";"";"";"";"";"Lorenzo Pareschi (Tit.) (ed altri)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=537";"9788808184658";"Robert A. Adams, Christopher Essex";"Luigi Quartapelle";"";"Calcolo differenziale 1. Funzioni di una variabile reale";"Cea";"5";"2014";"Brossura";"656";"Italiano";61.00;"obb";"tutto";"tutti";689;133
"unife";2021;"FISICA";"L";"L-30";"PERCORSO COMUNE";"ANALISI MATEMATICA I";"MAT/05";"12";"1";"1";"";"";"";"";"";"Fausto Segala (Tit.)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=363";"9788808184658";"Robert A. Adams, Christopher Essex";"Luigi Quartapelle";"";"Calcolo differenziale 1. Funzioni di una variabile reale";"Cea";"5";"2014";"Brossura";"656";"Italiano";61.00;"obb";"tutto";"tutti";159;43
"unife";2021;"FISICA";"L";"L-30";"PERCORSO COMUNE";"ANALISI MATEMATICA II";"MAT/05";"6";"2";"1";"";"";"";"";"";"Fausto Segala (Tit.)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=363";"9788808184689";"Robert A. Adams, Christopher Essex";"Luigi Quartapelle";"";"Calcolo differenziale 2. Funzioni di più variabili";"Cea";"5";"2014";"Brossura";"576";"Italiano";58.00;"obb";"tutto";"tutti";159;43
"unife";2021;"ARCHITETTURA";"LMCU";"LM-4CU";"PERCORSO COMUNE";"MATEMATICA APPLICATA";"MAT/08";"8";"1";"1";"";"";"";"";"";"Lorenzo Pareschi (Tit.) (ed altri)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=537";"9788838663024";"Giovanni Naldi, Lorenzo Pareschi, Giacomo Aletti";"";"";"Calcolo differenziale e algebra lineare";"McGraw-Hill Education";"";"2005";"";"384";"Italiano";23.00;"obb";"tutto";"tutti";689;133
"unife";2021;"ECONOMIA";"L";"L-18; L-33";"PERCORSO COMUNE";"MATEMATICA FINANZIARIA";"SECS-S/06";"8";"2";"1";"";"";"MATEMATICA FINANZIARIA - AK";"";"1";"Roberto Ghiselli Ricci (Tit.) (ed altri)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=515087";"9788823822726";"Elisa Luciano, Lorenzo Peccati, Mauro D'Amico";"";"";"Calcolo finanziario. Temi di base e temi moderni. Con Contenuto digitale per download e accesso on line";"EGEA Spa - Bocconi University Press";"2";"2018";"Prodotto in più parti di diverso formato";"XII-461";"Italiano";42.00;"in alt";"tutto";"tutti";205;76
"unife";2021;"ECONOMIA";"L";"L-18; L-33";"PERCORSO COMUNE";"MATEMATICA FINANZIARIA";"SECS-S/06";"8";"2";"1";"";"";"MATEMATICA FINANZIARIA - LZ";"";"1";"Stefania Ragni (Tit.) (ed altri)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=517566";"9788823822726";"Elisa Luciano, Lorenzo Peccati, Mauro D'Amico";"";"";"Calcolo finanziario. Temi di base e temi moderni. Con Contenuto digitale per download e accesso on line";"EGEA Spa - Bocconi University Press";"2";"2018";"Prodotto in più parti di diverso formato";"XII-461";"Italiano";42.00;"in alt";"tutto";"tutti";205;76
"unife";2021;"INFORMATICA";"L";"L-31";"PERCORSO COMUNE";"CALCOLO NUMERICO E LABORATORIO";"MAT/08";"9";"2";"1";"";"";"";"";"";"Gaetano Zanghirati (Tit.)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=1300";"9788847039520";"Alfio Quarteroni, Fausto Saleri, Paola Gervasio";"";"";"Calcolo scientifico. Esercizi e problemi risolti con MATLAB e Octave. Con MATLAB e Octave";"Springer";"6";"2017";"Brossura";"523";"Italiano";34.99;"obb";"tutto";"tutti";418;174
"unife";2021;"INGEGNERIA CIVILE";"LM";"LM-23";"PERCORSO COMUNE";"CALCOLO NUMERICO E LABORATORIO";"MAT/08";"9";"1";"1";"";"";"";"";"";"Gaetano Zanghirati (Tit.)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=1300";"9788847039520";"Alfio Quarteroni, Fausto Saleri, Paola Gervasio";"";"";"Calcolo scientifico. Esercizi e problemi risolti con MATLAB e Octave. Con MATLAB e Octave";"Springer";"6";"2017";"Brossura";"523";"Italiano";34.99;"obb";"tutto";"tutti";115;34
"unife";2021;"LINGUE E LETTERATURE STRANIERE";"LM";"LM-37";"PERCORSO COMUNE";"LETTERATURA FRANCESE";"L-LIN/03";"6";"1";"2";"";"";"";"";"";"Isabella Liberta' Mattazzi (Tit.)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=516897";"9782070300082";"Guillaume Apollinaire";"";"";"Calligrammes: Poèmes de la paix et de la guerre. Prefazione di Michel Butor";"Gallimard";"";"2013";"Brossura";"192";"Francese";7.50;"obb";"tutto";"tutti";193;76
"unife";2021;"INGEGNERIA CIVILE E AMBIENTALE";"L";"L-7";"PERCORSO COMUNE";"LINGUA INGLESE: VERIFICA DELLE CONOSCENZE";"L-LIN/12";"6";"1";"1";"";"";"";"";"";"Leonardo Schippa (Tit.)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=555";"9780521715188";"Mark Ibbotson";"";"";"Cambridge English for Engineering. (With 2 CDs)";"Cambridge University Press";"";"2008";"Brossura";"112";"Inglese";29.13;"obb";"tutto";"tutti";220;67
"unife";2021;"INGEGNERIA ELETTRONICA E INFORMATICA";"L";"L-8";"PERCORSO COMUNE";"LINGUA INGLESE: VERIFICA DELLE CONOSCENZE";"L-LIN/12";"6";"1";"1";"";"";"";"";"";"Leonardo Schippa (Tit.)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=555";"9780521715188";"Mark Ibbotson";"";"";"Cambridge English for Engineering. (With 2 CDs)";"Cambridge University Press";"";"2008";"Brossura";"112";"Inglese";29.13;"obb";"tutto";"tutti";564;175
"unife";2021;"INGEGNERIA MECCANICA";"L";"L-9";"PERCORSO COMUNE";"LINGUA INGLESE: VERIFICA DELLE CONOSCENZE";"L-LIN/12";"6";"1";"2";"";"";"";"";"";"Leonardo Schippa (Tit.)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=555";"9780521715188";"Mark Ibbotson";"";"";"Cambridge English for Engineering. (With 2 CDs)";"Cambridge University Press";"";"2008";"Brossura";"112";"Inglese";29.13;"obb";"tutto";"tutti";560;141
